,FIPS,2013 Rural-urban Continuum Code,Population_2010,Civilian_labor_force_2020,Unemployment_rate_2020,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019,Cluster,State,Brewery_Count
388,13029,2.0,30233,18718,5.3,79296,128.0,2,GA,0.0
395,13045,1.0,110527,54475,6.4,59193,95.5,2,GA,1.0
401,13057,1.0,214346,133045,4.9,88635,143.1,2,GA,5.0
406,13067,1.0,688078,414357,5.9,79622,128.5,2,GA,13.0
409,13073,2.0,124053,74411,4.2,88285,142.5,2,GA,0.0
411,13077,1.0,127317,73981,6.2,79232,127.9,2,GA,1.0
415,13085,1.0,22330,12319,4.7,69155,111.6,2,GA,0.0
417,13089,1.0,691893,395683,8.0,63606,102.7,2,GA,20.0
421,13097,1.0,132403,72297,7.4,62915,101.6,2,GA,0.0
424,13103,2.0,52250,31400,5.0,71628,115.6,2,GA,0.0
429,13113,1.0,106567,56444,5.4,94563,152.6,2,GA,1.0
431,13117,1.0,175511,120904,4.6,113332,182.9,2,GA,2.0
433,13121,1.0,920581,557232,8.0,79235,127.9,2,GA,38.0
440,13135,1.0,805321,481453,6.3,72225,116.6,2,GA,14.0
445,13145,2.0,32024,16527,4.6,74052,119.5,2,GA,0.0
448,13151,1.0,203922,115352,7.4,72927,117.7,2,GA,0.0
452,13159,1.0,13900,6756,4.9,59207,95.6,2,GA,0.0
458,13171,1.0,18317,7980,6.3,57402,92.7,2,GA,0.0
461,13177,3.0,28298,14763,4.6,72425,116.9,2,GA,0.0
477,13211,1.0,17868,9142,5.4,67089,108.3,2,GA,1.0
480,13217,1.0,99958,51901,7.1,58222,94.0,2,GA,0.0
481,13219,3.0,32808,19208,3.8,100878,162.8,2,GA,1.0
483,13223,1.0,142324,85313,5.4,76580,123.6,2,GA,1.0
485,13227,1.0,29431,14927,4.8,66183,106.8,2,GA,2.0
487,13231,1.0,17869,8705,5.0,74905,120.9,2,GA,0.0
495,13247,1.0,85215,43989,7.6,60281,97.3,2,GA,0.0
520,13297,1.0,83768,44917,5.4,67007,108.2,2,GA,0.0
534,15003,2.0,953207,440915,10.2,86946,103.8,2,HI,16.0
537,16001,2.0,392365,257677,5.4,72295,118.8,2,ID,25.0
544,16015,2.0,7028,3609,8.0,64443,105.9,2,ID,0.0
584,17007,2.0,54165,25580,11.2,72426,104.6,2,IL,0.0
587,17013,1.0,5089,2228,7.6,63373,91.6,2,IL,0.0
594,17027,1.0,37762,19796,5.8,67201,97.1,2,IL,1.0
596,17031,1.0,5194675,2539907,11.1,69375,100.2,2,IL,106.0
599,17037,1.0,105160,53031,8.2,64676,93.4,2,IL,2.0
602,17043,1.0,916924,484215,7.9,96354,139.2,2,IL,28.0
612,17063,1.0,50063,24269,8.8,83135,120.1,2,IL,0.0
622,17083,1.0,22985,10678,7.4,63351,91.5,2,IL,1.0
625,17089,1.0,515269,261649,9.1,84311,121.8,2,IL,14.0
627,17093,1.0,114736,66386,8.4,105586,152.6,2,IL,1.0
629,17097,1.0,703462,364544,8.1,92638,133.8,2,IL,21.0
636,17111,1.0,308760,158406,8.3,89379,129.1,2,IL,11.0
640,17119,1.0,269282,131452,7.7,66591,96.2,2,IL,5.0
645,17129,3.0,12705,6101,6.4,77306,111.7,2,IL,1.0
647,17133,1.0,32957,18386,5.6,90904,131.3,2,IL,2.0
679,17197,1.0,677560,344335,9.5,90249,130.4,2,IL,20.0
682,17203,2.0,38664,18012,6.1,77117,111.4,2,IL,1.0
685,18005,3.0,76794,43802,6.5,71181,123.5,2,IN,3.0
688,18011,1.0,56640,35586,4.3,84137,146.0,2,IN,2.0
689,18013,1.0,15242,7568,6.7,59617,103.5,2,IN,1.0
692,18019,1.0,110232,61138,7.2,59441,103.2,2,IN,2.0
697,18029,1.0,50047,25224,6.9,71351,123.8,2,IN,1.0
704,18043,1.0,74578,41093,6.5,64614,112.1,2,IN,5.0
711,18057,1.0,274569,182979,4.7,107710,186.9,2,IN,13.0
712,18059,1.0,70002,40363,5.6,77905,135.2,2,IN,2.0
713,18061,1.0,39364,19874,6.3,64270,111.5,2,IN,1.0
714,18063,1.0,145448,89386,5.0,85827,149.0,2,IN,3.0
719,18073,1.0,33478,15583,7.0,65352,113.4,2,IN,1.0
723,18081,1.0,139654,82335,5.6,74427,129.2,2,IN,7.0
727,18089,1.0,496005,225185,10.3,57280,99.4,2,IN,16.0
730,18095,1.0,131636,58758,7.9,54145,94.0,2,IN,2.0
737,18109,1.0,68894,35605,5.4,63414,110.1,2,IN,2.0
738,18111,1.0,14244,6591,6.9,61457,106.7,2,IN,0.0
740,18115,1.0,6128,3157,7.4,58294,101.2,2,IN,0.0
746,18127,1.0,164343,83987,8.1,74064,128.5,2,IN,5.0
747,18129,2.0,25910,12834,4.9,68435,118.8,2,IN,1.0
749,18133,1.0,37963,16336,6.2,64098,111.2,2,IN,1.0
755,18145,1.0,44436,23086,7.1,59798,103.8,2,IN,0.0
763,18161,1.0,7516,3443,5.5,53866,93.5,2,IN,1.0
769,18173,2.0,59689,31654,5.4,79644,138.2,2,IN,0.0
772,18179,2.0,27636,14006,5.7,61636,107.0,2,IN,0.0
774,18183,2.0,33292,17155,5.9,67347,116.9,2,IN,1.0
780,19011,2.0,26076,12924,5.0,70023,113.3,2,IA,0.0
799,19049,2.0,66135,49406,3.6,97535,157.8,2,IA,1.0
812,19075,3.0,12453,6273,4.4,73683,119.2,2,IA,1.0
813,19077,2.0,10954,5409,5.0,64965,105.1,2,IA,0.0
817,19085,2.0,14928,7060,4.0,63901,103.4,2,IA,1.0
827,19105,2.0,20638,10253,5.7,63399,102.6,2,IA,0.0
831,19113,2.0,211226,118853,6.4,64783,104.8,2,IA,9.0
835,19121,2.0,15679,8347,5.7,72578,117.4,2,IA,1.0
839,19129,2.0,15059,7150,3.9,72679,117.6,2,IA,2.0
851,19153,2.0,430640,264807,6.0,67331,108.9,2,IA,16.0
856,19163,2.0,165224,86403,6.8,65724,106.3,2,IA,9.0
865,19181,2.0,46225,27577,4.6,79557,128.7,2,IA,4.0
881,20015,2.0,65880,32533,6.5,66199,106.7,2,KS,1.0
913,20079,2.0,34684,16930,5.3,62961,101.5,2,KS,0.0
919,20091,1.0,544179,342146,5.1,91913,148.2,2,KS,8.0
925,20103,1.0,76227,36746,5.8,75840,122.3,2,KS,0.0
927,20107,1.0,9656,4379,7.0,62876,101.4,2,KS,0.0
934,20121,1.0,32787,17681,5.0,74428,120.0,2,KS,0.0
948,20149,3.0,21604,11981,4.3,73685,118.8,2,KS,0.0
986,21015,1.0,118811,70071,5.4,78806,150.8,2,KY,1.0
990,21023,1.0,8488,3744,6.2,53289,102.0,2,KY,0.0
993,21029,1.0,74319,42031,6.4,66335,126.9,2,KY,0.0
997,21037,1.0,90336,49647,5.6,66520,127.3,2,KY,5.0
1012,21067,2.0,295803,172284,5.7,58981,112.9,2,KY,9.0
1017,21077,1.0,8589,4012,6.0,55273,105.8,2,KY,0.0
1019,21081,1.0,24662,11525,7.1,55210,105.7,2,KY,0.0
1030,21103,1.0,15416,8071,5.7,51806,99.1,2,KY,0.0
1034,21111,1.0,741096,390487,6.8,59025,113.0,2,KY,23.0
1035,21113,2.0,48586,26160,5.6,62533,119.7,2,KY,0.0
1037,21117,1.0,159720,86062,5.8,68692,131.5,2,KY,2.0
1071,21185,1.0,60316,32438,4.8,101152,193.6,2,KY,0.0
1074,21191,1.0,14877,6803,5.2,58962,112.8,2,KY,0.0
1083,21209,2.0,47173,29378,6.3,74719,143.0,2,KY,0.0
1084,21211,1.0,42074,25191,5.5,71737,137.3,2,KY,0.0
1086,21215,1.0,17061,10254,5.8,79863,152.8,2,KY,0.0
1090,21223,1.0,8809,3789,6.8,58998,112.9,2,KY,0.0
1098,21239,2.0,24939,14929,5.0,67815,129.8,2,KY,1.0
1101,22005,2.0,107215,64136,6.7,83072,162.5,2,LA,1.0
1124,22051,1.0,432552,211563,9.3,55909,109.4,2,LA,0.0
1126,22055,2.0,221578,113811,7.1,60053,117.5,2,LA,2.0
1130,22063,2.0,128026,68265,6.4,63852,124.9,2,LA,1.0
1136,22075,1.0,23042,9649,7.0,60795,119.0,2,LA,0.0
1143,22089,1.0,52780,24644,7.8,71579,140.1,2,LA,0.0
1145,22093,1.0,22102,9058,9.7,57250,112.0,2,LA,0.0
1146,22095,1.0,45924,19473,11.2,54944,107.5,2,LA,0.0
1150,22103,1.0,233740,116466,6.8,71526,140.0,2,LA,4.0
1159,22121,2.0,23788,13502,7.2,65344,127.9,2,LA,0.0
1161,22125,2.0,15625,5276,5.4,65296,127.8,2,LA,0.0
1165,23005,2.0,281674,160863,5.3,75254,127.9,2,ME,40.0
1174,23023,2.0,35293,19259,4.7,65841,111.9,2,ME,2.0
1178,23031,2.0,197131,110884,5.4,66803,113.6,2,ME,18.0
1180,24003,1.0,537656,310413,5.8,100916,116.5,2,MD,5.0
1181,24005,1.0,805029,445695,6.8,76972,88.8,2,MD,9.0
1182,24009,1.0,88737,48543,5.2,111056,128.2,2,MD,7.0
1184,24013,1.0,167134,93073,5.1,101810,117.5,2,MD,7.0
1185,24015,1.0,101108,52083,5.9,75307,86.9,2,MD,6.0
1186,24017,1.0,146551,86099,6.7,102510,118.3,2,MD,1.0
1188,24021,1.0,233385,132867,5.9,102951,118.8,2,MD,16.0
1190,24025,1.0,244826,138337,5.8,91492,105.6,2,MD,7.0
1191,24027,1.0,287085,184474,5.2,121329,140.0,2,MD,6.0
1193,24031,1.0,971777,548398,6.3,110012,127.0,2,MD,11.0
1194,24033,1.0,863420,504276,8.2,85357,98.5,2,MD,4.0
1195,24035,1.0,47798,27202,5.5,101350,117.0,2,MD,4.0
1196,24037,3.0,105151,57281,4.8,89123,102.9,2,MD,2.0
1205,25005,1.0,548285,293532,10.2,69857,81.5,2,MA,12.0
1207,25009,1.0,743159,414660,9.8,83253,97.1,2,MA,22.0
1210,25015,2.0,158080,85661,7.2,74142,86.5,2,MA,15.0
1211,25017,1.0,1503085,882398,7.3,106543,124.3,2,MA,29.0
1213,25021,1.0,670850,380061,8.3,106851,124.7,2,MA,10.0
1214,25023,1.0,494919,276733,9.5,90584,105.7,2,MA,12.0
1215,25025,1.0,722023,446558,9.7,75843,88.5,2,MA,14.0
1216,25027,2.0,798552,432005,8.8,77795,90.8,2,MA,30.0
1224,26015,2.0,59173,31350,7.4,67703,113.7,2,MI,3.0
1235,26037,2.0,75382,40089,6.6,72666,122.1,2,MI,3.0
1239,26045,2.0,107759,56112,7.7,65891,110.7,2,MI,6.0
1257,26081,2.0,602622,357123,7.6,66560,111.8,2,MI,45.0
1260,26087,1.0,88319,40138,12.5,66415,111.6,2,MI,1.0
1263,26093,1.0,180967,99598,8.8,87827,147.6,2,MI,7.0
1266,26099,1.0,840978,439510,12.0,65051,109.3,2,MI,13.0
1279,26125,1.0,1202362,648742,9.3,81257,136.5,2,MI,35.0
1286,26139,2.0,263801,158936,6.8,69827,117.3,2,MI,23.0
1290,26147,1.0,163040,73897,12.0,60208,101.2,2,MI,3.0
1297,26161,2.0,344791,193659,6.4,76728,128.9,2,MI,19.0
1301,27003,1.0,330844,198304,6.3,83363,111.9,2,MN,7.0
1309,27019,1.0,91042,58673,5.2,101891,136.7,2,MN,5.0
1312,27025,1.0,53887,30083,6.6,84811,113.8,2,MN,0.0
1318,27037,1.0,398552,242394,6.2,89075,119.5,2,MN,7.0
1319,27039,3.0,20087,12042,5.4,86436,116.0,2,MN,1.0
1326,27053,1.0,1152425,710270,6.6,82323,110.5,2,MN,52.0
1329,27059,1.0,37816,21430,6.8,77963,104.6,2,MN,1.0
1339,27079,1.0,27703,16186,6.8,75519,101.3,2,MN,1.0
1354,27109,3.0,144248,91030,5.4,80631,108.2,2,MN,5.0
1361,27123,1.0,508640,290181,6.9,68652,92.1,2,MN,24.0
1369,27139,1.0,129928,83897,5.9,108718,145.9,2,MN,5.0
1370,27141,1.0,88499,52434,6.1,95323,127.9,2,MN,2.0
1371,27143,1.0,15226,8373,5.5,66757,89.6,2,MN,0.0
1381,27163,1.0,238136,143583,5.6,100857,135.3,2,MN,3.0
1385,27171,1.0,124700,75721,5.5,91374,122.6,2,MN,4.0
1403,28033,1.0,161252,90498,6.0,67450,146.9,2,MS,0.0
1423,28073,3.0,55658,30544,6.0,62606,136.3,2,MS,0.0
1431,28089,2.0,95203,52376,6.6,70824,154.2,2,MS,0.0
1447,28121,2.0,141617,74377,5.3,67284,146.5,2,MS,0.0
1455,28137,1.0,28886,11990,7.7,50188,109.3,2,MS,0.0
1481,29025,1.0,9424,4279,5.4,52872,92.2,2,MO,1.0
1487,29037,1.0,99478,54079,5.3,73882,128.8,2,MO,2.0
1490,29043,2.0,77422,45241,4.9,63400,110.5,2,MO,1.0
1492,29047,1.0,221939,136568,6.1,70705,123.2,2,MO,9.0
1493,29049,1.0,20743,10564,5.9,64541,112.5,2,MO,0.0
1504,29071,1.0,101492,52661,6.2,61428,107.1,2,MO,4.0
1516,29095,1.0,674158,360213,7.1,57907,100.9,2,MO,29.0
1518,29099,1.0,218733,116774,6.1,68779,119.9,2,MO,2.0
1522,29107,1.0,33381,16582,5.3,62264,108.5,2,MO,0.0
1525,29113,1.0,52566,28723,6.3,69178,120.6,2,MO,0.0
1551,29165,1.0,89322,58458,5.4,84456,147.2,2,MO,1.0
1557,29177,1.0,23494,10966,6.9,61678,107.5,2,MO,0.0
1560,29183,1.0,360485,224521,5.2,89236,155.5,2,MO,10.0
1564,29189,1.0,998954,524721,6.3,70161,122.3,2,MO,10.0
1577,29219,1.0,32513,18207,5.8,63726,111.1,2,MO,0.0
1652,31025,2.0,25241,13432,4.3,72915,115.2,2,NE,0.0
1667,31055,2.0,517110,300140,5.1,67264,106.3,2,NE,13.0
1716,31153,2.0,158840,96776,4.1,84016,132.7,2,NE,6.0
1717,31155,2.0,20780,11155,3.7,71086,112.3,2,NE,0.0
1719,31159,2.0,16750,8852,4.1,72291,114.2,2,NE,1.0
1728,31177,2.0,20234,11136,3.7,75197,118.8,2,NE,0.0
1734,32003,1.0,1951269,1123582,14.7,62131,98.2,2,NV,23.0
1746,32029,2.0,4010,2050,8.3,88003,139.1,2,NV,1.0
1747,32031,2.0,421407,254278,7.8,71733,113.4,2,NV,20.0
1755,33011,2.0,400721,240135,7.0,82862,105.5,2,NH,17.0
1757,33015,1.0,295223,185979,7.1,91416,116.3,2,NH,30.0
1758,33017,1.0,123143,73223,6.3,71486,91.0,2,NH,9.0
1761,34003,1.0,905116,477892,9.6,107971,125.9,2,NJ,4.0
1762,34005,1.0,448734,230784,8.2,88443,103.1,2,NJ,12.0
1763,34007,1.0,513657,256048,10.1,73168,85.3,2,NJ,14.0
1766,34013,1.0,783969,373943,11.7,64522,75.2,2,NJ,6.0
1767,34015,1.0,288288,151080,9.3,87996,102.6,2,NJ,11.0
1768,34017,1.0,634266,360498,10.6,77738,90.6,2,NJ,3.0
1769,34019,1.0,128349,63295,7.2,117275,136.7,2,NJ,6.0
1770,34021,2.0,366513,205405,7.4,79475,92.6,2,NJ,4.0
1771,34023,1.0,809858,436329,8.7,92770,108.1,2,NJ,5.0
1772,34025,1.0,630380,327712,8.8,102579,119.6,2,NJ,16.0
1773,34027,1.0,492276,252588,7.8,116328,135.6,2,NJ,6.0
1774,34029,1.0,576567,278413,9.5,75627,88.2,2,NJ,12.0
1775,34031,1.0,501226,245187,12.6,76039,88.6,2,NJ,2.0
1776,34033,1.0,66083,29532,9.5,68146,79.4,2,NJ,0.0
1777,34035,1.0,323444,167938,7.8,112722,131.4,2,NJ,4.0
1778,34037,1.0,149265,73836,9.4,100281,116.9,2,NJ,4.0
1779,34039,1.0,536499,276211,9.9,79953,93.2,2,NJ,8.0
1780,34041,2.0,108692,55670,8.5,83998,97.9,2,NJ,6.0
1795,35028,6.0,17950,9974,3.7,122001,234.5,2,NM,1.0
1803,35043,2.0,131561,66325,8.6,71118,136.7,2,NM,9.0
1813,36001,2.0,304204,157326,7.2,69408,96.3,2,NY,12.0
1826,36027,1.0,297488,142061,7.7,84564,117.4,2,NY,15.0
1827,36029,1.0,919040,439291,9.5,60620,84.2,2,NY,29.0
1836,36047,1.0,2504700,1151130,12.5,66501,92.3,2,NY,27.0
1838,36051,1.0,65393,29831,7.1,60268,83.7,2,NY,6.0
1840,36055,1.0,744344,359299,8.6,62159,86.3,2,NY,26.0
1842,36059,1.0,1339532,698942,8.4,117767,163.5,2,NY,17.0
1843,36061,1.0,1585873,859618,9.5,93007,129.1,2,NY,4.0
1847,36069,1.0,107931,54401,7.3,66754,92.7,2,NY,21.0
1848,36071,1.0,372813,183265,8.4,83188,115.5,2,NY,8.0
1852,36079,1.0,99710,50079,7.6,105600,146.6,2,NY,0.0
1853,36081,1.0,2230722,1098937,12.5,72975,101.3,2,NY,12.0
1854,36083,2.0,159429,80795,7.0,70688,98.1,2,NY,6.0
1855,36085,1.0,468730,211064,10.6,86624,120.2,2,NY,2.0
1856,36087,1.0,311687,152903,8.1,99831,138.6,2,NY,6.0
1858,36091,2.0,219607,119009,6.7,89071,123.6,2,NY,9.0
1864,36103,1.0,1493350,764564,8.5,105241,146.1,2,NY,41.0
1871,36117,1.0,93772,42921,7.4,61989,86.1,2,NY,0.0
1872,36119,1.0,949113,477959,8.4,101741,141.2,2,NY,11.0
1874,36123,1.0,25348,11546,6.5,60612,84.1,2,NY,4.0
1884,37019,2.0,107431,52246,8.8,63712,111.0,2,NC,2.0
1887,37025,1.0,178011,108444,7.0,72071,125.6,2,NC,9.0
1893,37037,2.0,63505,35248,5.4,70258,122.4,2,NC,3.0
1901,37053,1.0,23547,13851,6.3,70699,123.2,2,NC,2.0
1904,37059,2.0,41240,20079,6.8,63828,111.2,2,NC,0.0
1906,37063,2.0,267587,170422,6.5,65541,114.2,2,NC,11.0
1909,37069,1.0,60619,31029,6.8,57371,100.0,2,NC,2.0
1910,37071,1.0,206086,109526,8.0,56542,98.5,2,NC,6.0
1911,37073,1.0,12197,5069,5.7,54204,94.5,2,NC,0.0
1919,37089,2.0,106740,52454,6.9,61651,107.4,2,NC,11.0
1923,37097,1.0,159437,88855,7.3,68308,119.0,2,NC,6.0
1925,37101,1.0,168878,98297,6.3,62835,109.5,2,NC,2.0
1929,37109,1.0,78265,43262,6.6,70479,122.8,2,NC,3.0
1934,37119,1.0,919628,617543,7.8,69455,121.0,2,NC,47.0
1942,37135,2.0,133801,77808,5.4,74314,129.5,2,NC,9.0
1964,37179,1.0,201292,121173,6.0,86138,150.1,2,NC,3.0
1966,37183,1.0,900993,584088,6.4,84377,147.0,2,NC,43.0
2035,39015,1.0,44846,19407,8.2,58441,99.6,2,OH,2.0
2036,39017,1.0,368130,194077,7.2,68611,116.9,2,OH,9.0
2040,39025,1.0,197363,106237,6.9,68724,117.1,2,OH,2.0
2045,39035,1.0,1280122,592890,10.4,52503,89.4,2,OH,39.0
2048,39041,1.0,174214,111352,5.3,110252,187.8,2,OH,9.0
2050,39045,1.0,146156,78604,6.6,71782,122.3,2,OH,5.0
2052,39049,1.0,1163414,705149,7.4,64648,110.1,2,OH,48.0
2053,39051,2.0,42698,21991,7.9,64334,109.6,2,OH,2.0
2055,39055,1.0,93389,46329,6.7,79865,136.0,2,OH,1.0
2056,39057,2.0,161573,82640,6.4,69709,118.7,2,OH,6.0
2058,39061,1.0,802374,415866,7.8,60251,102.6,2,OH,41.0
2070,39085,1.0,230041,120876,8.4,65040,110.8,2,OH,4.0
2072,39089,1.0,166492,90688,6.5,66321,113.0,2,OH,9.0
2074,39093,1.0,301356,149061,9.9,59201,100.8,2,OH,5.0
2076,39097,1.0,43435,20834,5.9,65696,111.9,2,OH,1.0
2079,39103,1.0,172332,93378,7.6,78540,133.8,2,OH,10.0
2082,39109,2.0,102506,54163,7.0,63524,108.2,2,OH,1.0
2086,39117,1.0,34827,16890,7.1,59498,101.4,2,OH,1.0
2092,39129,1.0,55698,26523,6.8,63931,108.9,2,OH,0.0
2107,39159,1.0,52300,29408,5.8,91597,156.0,2,OH,3.0
2110,39165,1.0,212693,118838,6.4,91645,156.1,2,OH,7.0
2114,39173,2.0,125488,69444,7.1,64723,110.3,2,OH,7.0
2124,40017,1.0,115541,76026,6.0,75111,138.0,2,OK,0.0
2129,40027,1.0,255755,142684,5.6,64706,118.8,2,OK,5.0
2141,40051,1.0,52431,26633,6.1,63647,116.9,2,OK,1.0
2156,40081,1.0,34273,15609,5.6,51012,93.7,2,OK,0.0
2157,40083,1.0,41848,22207,5.1,66625,122.4,2,OK,0.0
2159,40087,1.0,34506,19882,5.5,75009,137.8,2,OK,0.0
2170,40109,1.0,718633,385860,6.4,56272,103.4,2,OK,23.0
2181,40131,2.0,86905,44897,5.8,67054,123.2,2,OK,0.0
2188,40145,2.0,73085,38146,5.8,65191,119.7,2,OK,0.0
2195,41005,1.0,375992,218040,7.2,80539,120.3,2,OR,18.0
2197,41009,1.0,49351,24061,7.9,72285,108.0,2,OR,2.0
2218,41051,1.0,735334,457372,8.6,72469,108.2,2,OR,77.0
2219,41053,2.0,75403,40205,6.6,69757,104.2,2,OR,2.0
2226,41067,1.0,529710,321579,6.5,85665,127.9,2,OR,21.0
2228,41071,1.0,99193,54221,6.8,71815,107.3,2,OR,10.0
2230,42003,1.0,1223348,635957,9.0,64799,102.1,2,PA,48.0
2232,42007,1.0,170539,82963,10.3,60323,95.1,2,PA,4.0
2234,42011,2.0,411442,211486,9.5,67418,106.2,2,PA,10.0
