FIPS,State,County_Name,County,Population_2010,UIC_2013,Description,City/Suburb/Town/Rural
22091,LA,St. Helena Parish,St. Helena Parish,"11,203",2,Small-in a metro area with fewer than 1 million residents                                           ,City
22099,LA,St. Martin Parish,St. Martin Parish,"52,160",2,Small-in a metro area with fewer than 1 million residents                                           ,City
22105,LA,Tangipahoa Parish,Tangipahoa Parish,"121,097",2,Small-in a metro area with fewer than 1 million residents                                           ,City
22109,LA,Terrebonne Parish,Terrebonne Parish,"111,860",2,Small-in a metro area with fewer than 1 million residents                                           ,City
22111,LA,Union Parish,Union Parish,"22,721",2,Small-in a metro area with fewer than 1 million residents                                           ,City
22113,LA,Vermilion Parish,Vermilion Parish,"57,999",2,Small-in a metro area with fewer than 1 million residents                                           ,City
22119,LA,Webster Parish,Webster Parish,"41,207",2,Small-in a metro area with fewer than 1 million residents                                           ,City
22121,LA,West Baton Rouge Parish,West Baton Rouge Parish,"23,788",2,Small-in a metro area with fewer than 1 million residents                                           ,City
22125,LA,West Feliciana Parish,West Feliciana Parish,"15,625",2,Small-in a metro area with fewer than 1 million residents                                           ,City
23001,ME,Androscoggin County,Androscoggin ,"107,702",2,Small-in a metro area with fewer than 1 million residents                                           ,City
23005,ME,Cumberland County,Cumberland ,"281,674",2,Small-in a metro area with fewer than 1 million residents                                           ,City
23019,ME,Penobscot County,Penobscot ,"153,923",2,Small-in a metro area with fewer than 1 million residents                                           ,City
23023,ME,Sagadahoc County,Sagadahoc ,"35,293",2,Small-in a metro area with fewer than 1 million residents                                           ,City
23031,ME,York County,York ,"197,131",2,Small-in a metro area with fewer than 1 million residents                                           ,City
24001,MD,Allegany County,Allegany ,"75,087",2,Small-in a metro area with fewer than 1 million residents                                           ,City
24037,MD,St. Mary's County,St. Mary's ,"105,151",2,Small-in a metro area with fewer than 1 million residents                                           ,City
24039,MD,Somerset County,Somerset ,"26,470",2,Small-in a metro area with fewer than 1 million residents                                           ,City
24043,MD,Washington County,Washington ,"147,430",2,Small-in a metro area with fewer than 1 million residents                                           ,City
24045,MD,Wicomico County,Wicomico ,"98,733",2,Small-in a metro area with fewer than 1 million residents                                           ,City
24047,MD,Worcester County,Worcester ,"51,454",2,Small-in a metro area with fewer than 1 million residents                                           ,City
25001,MA,Barnstable County,Barnstable ,"215,888",2,Small-in a metro area with fewer than 1 million residents                                           ,City
25003,MA,Berkshire County,Berkshire ,"131,219",2,Small-in a metro area with fewer than 1 million residents                                           ,City
25013,MA,Hampden County,Hampden ,"463,490",2,Small-in a metro area with fewer than 1 million residents                                           ,City
25015,MA,Hampshire County,Hampshire ,"158,080",2,Small-in a metro area with fewer than 1 million residents                                           ,City
25027,MA,Worcester County,Worcester ,"798,552",2,Small-in a metro area with fewer than 1 million residents                                           ,City
26015,MI,Barry County,Barry ,"59,173",2,Small-in a metro area with fewer than 1 million residents                                           ,City
26017,MI,Bay County,Bay ,"107,771",2,Small-in a metro area with fewer than 1 million residents                                           ,City
26021,MI,Berrien County,Berrien ,"156,813",2,Small-in a metro area with fewer than 1 million residents                                           ,City
26025,MI,Calhoun County,Calhoun ,"136,146",2,Small-in a metro area with fewer than 1 million residents                                           ,City
26027,MI,Cass County,Cass ,"52,293",2,Small-in a metro area with fewer than 1 million residents                                           ,City
26037,MI,Clinton County,Clinton ,"75,382",2,Small-in a metro area with fewer than 1 million residents                                           ,City
26045,MI,Eaton County,Eaton ,"107,759",2,Small-in a metro area with fewer than 1 million residents                                           ,City
26049,MI,Genesee County,Genesee ,"425,790",2,Small-in a metro area with fewer than 1 million residents                                           ,City
26065,MI,Ingham County,Ingham ,"280,895",2,Small-in a metro area with fewer than 1 million residents                                           ,City
26075,MI,Jackson County,Jackson ,"160,248",2,Small-in a metro area with fewer than 1 million residents                                           ,City
26077,MI,Kalamazoo County,Kalamazoo ,"250,331",2,Small-in a metro area with fewer than 1 million residents                                           ,City
26081,MI,Kent County,Kent ,"602,622",2,Small-in a metro area with fewer than 1 million residents                                           ,City
26111,MI,Midland County,Midland ,"83,629",2,Small-in a metro area with fewer than 1 million residents                                           ,City
26115,MI,Monroe County,Monroe ,"152,021",2,Small-in a metro area with fewer than 1 million residents                                           ,City
26117,MI,Montcalm County,Montcalm ,"63,342",2,Small-in a metro area with fewer than 1 million residents                                           ,City
26121,MI,Muskegon County,Muskegon ,"172,188",2,Small-in a metro area with fewer than 1 million residents                                           ,City
26139,MI,Ottawa County,Ottawa ,"263,801",2,Small-in a metro area with fewer than 1 million residents                                           ,City
26145,MI,Saginaw County,Saginaw ,"200,169",2,Small-in a metro area with fewer than 1 million residents                                           ,City
26159,MI,Van Buren County,Van Buren ,"76,258",2,Small-in a metro area with fewer than 1 million residents                                           ,City
26161,MI,Washtenaw County,Washtenaw ,"344,791",2,Small-in a metro area with fewer than 1 million residents                                           ,City
27009,MN,Benton County,Benton ,"38,451",2,Small-in a metro area with fewer than 1 million residents                                           ,City
27013,MN,Blue Earth County,Blue Earth ,"64,013",2,Small-in a metro area with fewer than 1 million residents                                           ,City
27017,MN,Carlton County,Carlton ,"35,386",2,Small-in a metro area with fewer than 1 million residents                                           ,City
27027,MN,Clay County,Clay ,"58,999",2,Small-in a metro area with fewer than 1 million residents                                           ,City
27039,MN,Dodge County,Dodge ,"20,087",2,Small-in a metro area with fewer than 1 million residents                                           ,City
27045,MN,Fillmore County,Fillmore ,"20,866",2,Small-in a metro area with fewer than 1 million residents                                           ,City
27055,MN,Houston County,Houston ,"19,027",2,Small-in a metro area with fewer than 1 million residents                                           ,City
27103,MN,Nicollet County,Nicollet ,"32,727",2,Small-in a metro area with fewer than 1 million residents                                           ,City
27109,MN,Olmsted County,Olmsted ,"144,248",2,Small-in a metro area with fewer than 1 million residents                                           ,City
27119,MN,Polk County,Polk ,"31,600",2,Small-in a metro area with fewer than 1 million residents                                           ,City
27137,MN,St. Louis County,St. Louis ,"200,226",2,Small-in a metro area with fewer than 1 million residents                                           ,City
27145,MN,Stearns County,Stearns ,"150,642",2,Small-in a metro area with fewer than 1 million residents                                           ,City
27157,MN,Wabasha County,Wabasha ,"21,676",2,Small-in a metro area with fewer than 1 million residents                                           ,City
28029,MS,Copiah County,Copiah ,"29,449",2,Small-in a metro area with fewer than 1 million residents                                           ,City
28035,MS,Forrest County,Forrest ,"74,934",2,Small-in a metro area with fewer than 1 million residents                                           ,City
28045,MS,Hancock County,Hancock ,"43,929",2,Small-in a metro area with fewer than 1 million residents                                           ,City
28047,MS,Harrison County,Harrison ,"187,105",2,Small-in a metro area with fewer than 1 million residents                                           ,City
28049,MS,Hinds County,Hinds ,"245,285",2,Small-in a metro area with fewer than 1 million residents                                           ,City
28059,MS,Jackson County,Jackson ,"139,668",2,Small-in a metro area with fewer than 1 million residents                                           ,City
28073,MS,Lamar County,Lamar ,"55,658",2,Small-in a metro area with fewer than 1 million residents                                           ,City
28089,MS,Madison County,Madison ,"95,203",2,Small-in a metro area with fewer than 1 million residents                                           ,City
28111,MS,Perry County,Perry ,"12,250",2,Small-in a metro area with fewer than 1 million residents                                           ,City
28121,MS,Rankin County,Rankin ,"141,617",2,Small-in a metro area with fewer than 1 million residents                                           ,City
28127,MS,Simpson County,Simpson ,"27,503",2,Small-in a metro area with fewer than 1 million residents                                           ,City
28163,MS,Yazoo County,Yazoo ,"28,065",2,Small-in a metro area with fewer than 1 million residents                                           ,City
29003,MO,Andrew County,Andrew ,"17,291",2,Small-in a metro area with fewer than 1 million residents                                           ,City
29017,MO,Bollinger County,Bollinger ,"12,363",2,Small-in a metro area with fewer than 1 million residents                                           ,City
29019,MO,Boone County,Boone ,"162,642",2,Small-in a metro area with fewer than 1 million residents                                           ,City
29021,MO,Buchanan County,Buchanan ,"89,201",2,Small-in a metro area with fewer than 1 million residents                                           ,City
29027,MO,Callaway County,Callaway ,"44,332",2,Small-in a metro area with fewer than 1 million residents                                           ,City
29031,MO,Cape Girardeau County,Cape Girardeau ,"75,674",2,Small-in a metro area with fewer than 1 million residents                                           ,City
29043,MO,Christian County,Christian ,"77,422",2,Small-in a metro area with fewer than 1 million residents                                           ,City
29051,MO,Cole County,Cole ,"75,990",2,Small-in a metro area with fewer than 1 million residents                                           ,City
29059,MO,Dallas County,Dallas ,"16,777",2,Small-in a metro area with fewer than 1 million residents                                           ,City
29063,MO,DeKalb County,DeKalb ,"12,892",2,Small-in a metro area with fewer than 1 million residents                                           ,City
29077,MO,Greene County,Greene ,"275,174",2,Small-in a metro area with fewer than 1 million residents                                           ,City
29097,MO,Jasper County,Jasper ,"117,404",2,Small-in a metro area with fewer than 1 million residents                                           ,City
29119,MO,McDonald County,McDonald ,"23,083",2,Small-in a metro area with fewer than 1 million residents                                           ,City
29135,MO,Moniteau County,Moniteau ,"15,607",2,Small-in a metro area with fewer than 1 million residents                                           ,City
29145,MO,Newton County,Newton ,"58,114",2,Small-in a metro area with fewer than 1 million residents                                           ,City
29151,MO,Osage County,Osage ,"13,878",2,Small-in a metro area with fewer than 1 million residents                                           ,City
29167,MO,Polk County,Polk ,"31,137",2,Small-in a metro area with fewer than 1 million residents                                           ,City
29225,MO,Webster County,Webster ,"36,202",2,Small-in a metro area with fewer than 1 million residents                                           ,City
30009,MT,Carbon County,Carbon ,"10,078",2,Small-in a metro area with fewer than 1 million residents                                           ,City
30013,MT,Cascade County,Cascade ,"81,327",2,Small-in a metro area with fewer than 1 million residents                                           ,City
30037,MT,Golden Valley County,Golden Valley ,884,2,Small-in a metro area with fewer than 1 million residents                                           ,City
30063,MT,Missoula County,Missoula ,"109,299",2,Small-in a metro area with fewer than 1 million residents                                           ,City
30111,MT,Yellowstone County,Yellowstone ,"147,972",2,Small-in a metro area with fewer than 1 million residents                                           ,City
31025,NE,Cass County,Cass ,"25,241",2,Small-in a metro area with fewer than 1 million residents                                           ,City
31043,NE,Dakota County,Dakota ,"21,006",2,Small-in a metro area with fewer than 1 million residents                                           ,City
31051,NE,Dixon County,Dixon ,"6,000",2,Small-in a metro area with fewer than 1 million residents                                           ,City
31055,NE,Douglas County,Douglas ,"517,110",2,Small-in a metro area with fewer than 1 million residents                                           ,City
31079,NE,Hall County,Hall ,"58,607",2,Small-in a metro area with fewer than 1 million residents                                           ,City
31081,NE,Hamilton County,Hamilton ,"9,124",2,Small-in a metro area with fewer than 1 million residents                                           ,City
31093,NE,Howard County,Howard ,"6,274",2,Small-in a metro area with fewer than 1 million residents                                           ,City
31109,NE,Lancaster County,Lancaster ,"285,407",2,Small-in a metro area with fewer than 1 million residents                                           ,City
31121,NE,Merrick County,Merrick ,"7,845",2,Small-in a metro area with fewer than 1 million residents                                           ,City
31153,NE,Sarpy County,Sarpy ,"158,840",2,Small-in a metro area with fewer than 1 million residents                                           ,City
31155,NE,Saunders County,Saunders ,"20,780",2,Small-in a metro area with fewer than 1 million residents                                           ,City
31159,NE,Seward County,Seward ,"16,750",2,Small-in a metro area with fewer than 1 million residents                                           ,City
31177,NE,Washington County,Washington ,"20,234",2,Small-in a metro area with fewer than 1 million residents                                           ,City
32029,NV,Storey County,Storey ,"4,010",2,Small-in a metro area with fewer than 1 million residents                                           ,City
32031,NV,Washoe County,Washoe ,"421,407",2,Small-in a metro area with fewer than 1 million residents                                           ,City
32510,NV,Carson City,Carson City,"55,274",2,Small-in a metro area with fewer than 1 million residents                                           ,City
33011,NH,Hillsborough County,Hillsborough ,"400,721",2,Small-in a metro area with fewer than 1 million residents                                           ,City
34001,NJ,Atlantic County,Atlantic ,"274,549",2,Small-in a metro area with fewer than 1 million residents                                           ,City
34009,NJ,Cape May County,Cape May ,"97,265",2,Small-in a metro area with fewer than 1 million residents                                           ,City
34011,NJ,Cumberland County,Cumberland ,"156,898",2,Small-in a metro area with fewer than 1 million residents                                           ,City
34021,NJ,Mercer County,Mercer ,"366,513",2,Small-in a metro area with fewer than 1 million residents                                           ,City
34041,NJ,Warren County,Warren ,"108,692",2,Small-in a metro area with fewer than 1 million residents                                           ,City
35001,NM,Bernalillo County,Bernalillo ,"662,564",2,Small-in a metro area with fewer than 1 million residents                                           ,City
35013,NM,Dona Ana County,Dona Ana ,"209,233",2,Small-in a metro area with fewer than 1 million residents                                           ,City
35043,NM,Sandoval County,Sandoval ,"131,561",2,Small-in a metro area with fewer than 1 million residents                                           ,City
35045,NM,San Juan County,San Juan ,"130,044",2,Small-in a metro area with fewer than 1 million residents                                           ,City
35049,NM,Santa Fe County,Santa Fe ,"144,170",2,Small-in a metro area with fewer than 1 million residents                                           ,City
35057,NM,Torrance County,Torrance ,"16,383",2,Small-in a metro area with fewer than 1 million residents                                           ,City
35061,NM,Valencia County,Valencia ,"76,569",2,Small-in a metro area with fewer than 1 million residents                                           ,City
36001,NY,Albany County,Albany ,"304,204",2,Small-in a metro area with fewer than 1 million residents                                           ,City
36007,NY,Broome County,Broome ,"200,600",2,Small-in a metro area with fewer than 1 million residents                                           ,City
36015,NY,Chemung County,Chemung ,"88,830",2,Small-in a metro area with fewer than 1 million residents                                           ,City
36043,NY,Herkimer County,Herkimer ,"64,519",2,Small-in a metro area with fewer than 1 million residents                                           ,City
36045,NY,Jefferson County,Jefferson ,"116,229",2,Small-in a metro area with fewer than 1 million residents                                           ,City
36053,NY,Madison County,Madison ,"73,442",2,Small-in a metro area with fewer than 1 million residents                                           ,City
36065,NY,Oneida County,Oneida ,"234,878",2,Small-in a metro area with fewer than 1 million residents                                           ,City
36067,NY,Onondaga County,Onondaga ,"467,026",2,Small-in a metro area with fewer than 1 million residents                                           ,City
36075,NY,Oswego County,Oswego ,"122,109",2,Small-in a metro area with fewer than 1 million residents                                           ,City
36083,NY,Rensselaer County,Rensselaer ,"159,429",2,Small-in a metro area with fewer than 1 million residents                                           ,City
36091,NY,Saratoga County,Saratoga ,"219,607",2,Small-in a metro area with fewer than 1 million residents                                           ,City
36093,NY,Schenectady County,Schenectady ,"154,727",2,Small-in a metro area with fewer than 1 million residents                                           ,City
36095,NY,Schoharie County,Schoharie ,"32,749",2,Small-in a metro area with fewer than 1 million residents                                           ,City
36107,NY,Tioga County,Tioga ,"51,125",2,Small-in a metro area with fewer than 1 million residents                                           ,City
36109,NY,Tompkins County,Tompkins ,"101,564",2,Small-in a metro area with fewer than 1 million residents                                           ,City
36111,NY,Ulster County,Ulster ,"182,493",2,Small-in a metro area with fewer than 1 million residents                                           ,City
36113,NY,Warren County,Warren ,"65,707",2,Small-in a metro area with fewer than 1 million residents                                           ,City
36115,NY,Washington County,Washington ,"63,216",2,Small-in a metro area with fewer than 1 million residents                                           ,City
37001,NC,Alamance County,Alamance ,"151,131",2,Small-in a metro area with fewer than 1 million residents                                           ,City
37003,NC,Alexander County,Alexander ,"37,198",2,Small-in a metro area with fewer than 1 million residents                                           ,City
37019,NC,Brunswick County,Brunswick ,"107,431",2,Small-in a metro area with fewer than 1 million residents                                           ,City
37021,NC,Buncombe County,Buncombe ,"238,318",2,Small-in a metro area with fewer than 1 million residents                                           ,City
37023,NC,Burke County,Burke ,"90,912",2,Small-in a metro area with fewer than 1 million residents                                           ,City
37027,NC,Caldwell County,Caldwell ,"83,029",2,Small-in a metro area with fewer than 1 million residents                                           ,City
37035,NC,Catawba County,Catawba ,"154,358",2,Small-in a metro area with fewer than 1 million residents                                           ,City
37037,NC,Chatham County,Chatham ,"63,505",2,Small-in a metro area with fewer than 1 million residents                                           ,City
37049,NC,Craven County,Craven ,"103,505",2,Small-in a metro area with fewer than 1 million residents                                           ,City
37051,NC,Cumberland County,Cumberland ,"319,431",2,Small-in a metro area with fewer than 1 million residents                                           ,City
37057,NC,Davidson County,Davidson ,"162,878",2,Small-in a metro area with fewer than 1 million residents                                           ,City
37059,NC,Davie County,Davie ,"41,240",2,Small-in a metro area with fewer than 1 million residents                                           ,City
37063,NC,Durham County,Durham ,"267,587",2,Small-in a metro area with fewer than 1 million residents                                           ,City
37065,NC,Edgecombe County,Edgecombe ,"56,552",2,Small-in a metro area with fewer than 1 million residents                                           ,City
37067,NC,Forsyth County,Forsyth ,"350,670",2,Small-in a metro area with fewer than 1 million residents                                           ,City
37081,NC,Guilford County,Guilford ,"488,406",2,Small-in a metro area with fewer than 1 million residents                                           ,City
37087,NC,Haywood County,Haywood ,"59,036",2,Small-in a metro area with fewer than 1 million residents                                           ,City
37089,NC,Henderson County,Henderson ,"106,740",2,Small-in a metro area with fewer than 1 million residents                                           ,City
37093,NC,Hoke County,Hoke ,"46,952",2,Small-in a metro area with fewer than 1 million residents                                           ,City
37103,NC,Jones County,Jones ,"10,153",2,Small-in a metro area with fewer than 1 million residents                                           ,City
37115,NC,Madison County,Madison ,"20,764",2,Small-in a metro area with fewer than 1 million residents                                           ,City
37127,NC,Nash County,Nash ,"95,840",2,Small-in a metro area with fewer than 1 million residents                                           ,City
37129,NC,New Hanover County,New Hanover ,"202,667",2,Small-in a metro area with fewer than 1 million residents                                           ,City
37133,NC,Onslow County,Onslow ,"177,772",2,Small-in a metro area with fewer than 1 million residents                                           ,City
37135,NC,Orange County,Orange ,"133,801",2,Small-in a metro area with fewer than 1 million residents                                           ,City
37137,NC,Pamlico County,Pamlico ,"13,144",2,Small-in a metro area with fewer than 1 million residents                                           ,City
37141,NC,Pender County,Pender ,"52,217",2,Small-in a metro area with fewer than 1 million residents                                           ,City
37145,NC,Person County,Person ,"39,464",2,Small-in a metro area with fewer than 1 million residents                                           ,City
37147,NC,Pitt County,Pitt ,"168,148",2,Small-in a metro area with fewer than 1 million residents                                           ,City
37151,NC,Randolph County,Randolph ,"141,752",2,Small-in a metro area with fewer than 1 million residents                                           ,City
37157,NC,Rockingham County,Rockingham ,"93,643",2,Small-in a metro area with fewer than 1 million residents                                           ,City
37169,NC,Stokes County,Stokes ,"47,401",2,Small-in a metro area with fewer than 1 million residents                                           ,City
37191,NC,Wayne County,Wayne ,"122,623",2,Small-in a metro area with fewer than 1 million residents                                           ,City
37197,NC,Yadkin County,Yadkin ,"38,406",2,Small-in a metro area with fewer than 1 million residents                                           ,City
38015,ND,Burleigh County,Burleigh ,"81,308",2,Small-in a metro area with fewer than 1 million residents                                           ,City
38017,ND,Cass County,Cass ,"149,778",2,Small-in a metro area with fewer than 1 million residents                                           ,City
38035,ND,Grand Forks County,Grand Forks ,"66,861",2,Small-in a metro area with fewer than 1 million residents                                           ,City
38059,ND,Morton County,Morton ,"27,471",2,Small-in a metro area with fewer than 1 million residents                                           ,City
38065,ND,Oliver County,Oliver ,"1,846",2,Small-in a metro area with fewer than 1 million residents                                           ,City
38085,ND,Sioux County,Sioux ,"4,153",2,Small-in a metro area with fewer than 1 million residents                                           ,City
39003,OH,Allen County,Allen ,"106,331",2,Small-in a metro area with fewer than 1 million residents                                           ,City
39013,OH,Belmont County,Belmont ,"70,400",2,Small-in a metro area with fewer than 1 million residents                                           ,City
39019,OH,Carroll County,Carroll ,"28,836",2,Small-in a metro area with fewer than 1 million residents                                           ,City
39023,OH,Clark County,Clark ,"138,333",2,Small-in a metro area with fewer than 1 million residents                                           ,City
39051,OH,Fulton County,Fulton ,"42,698",2,Small-in a metro area with fewer than 1 million residents                                           ,City
39057,OH,Greene County,Greene ,"161,573",2,Small-in a metro area with fewer than 1 million residents                                           ,City
39081,OH,Jefferson County,Jefferson ,"69,709",2,Small-in a metro area with fewer than 1 million residents                                           ,City
39087,OH,Lawrence County,Lawrence ,"62,450",2,Small-in a metro area with fewer than 1 million residents                                           ,City
39095,OH,Lucas County,Lucas ,"441,815",2,Small-in a metro area with fewer than 1 million residents                                           ,City
39099,OH,Mahoning County,Mahoning ,"238,823",2,Small-in a metro area with fewer than 1 million residents                                           ,City
39109,OH,Miami County,Miami ,"102,506",2,Small-in a metro area with fewer than 1 million residents                                           ,City
39113,OH,Montgomery County,Montgomery ,"535,153",2,Small-in a metro area with fewer than 1 million residents                                           ,City
39133,OH,Portage County,Portage ,"161,419",2,Small-in a metro area with fewer than 1 million residents                                           ,City
39139,OH,Richland County,Richland ,"124,475",2,Small-in a metro area with fewer than 1 million residents                                           ,City
39151,OH,Stark County,Stark ,"375,586",2,Small-in a metro area with fewer than 1 million residents                                           ,City
39153,OH,Summit County,Summit ,"541,781",2,Small-in a metro area with fewer than 1 million residents                                           ,City
39155,OH,Trumbull County,Trumbull ,"210,312",2,Small-in a metro area with fewer than 1 million residents                                           ,City
39173,OH,Wood County,Wood ,"125,488",2,Small-in a metro area with fewer than 1 million residents                                           ,City
40031,OK,Comanche County,Comanche ,"124,098",2,Small-in a metro area with fewer than 1 million residents                                           ,City
40033,OK,Cotton County,Cotton ,"6,193",2,Small-in a metro area with fewer than 1 million residents                                           ,City
40037,OK,Creek County,Creek ,"69,967",2,Small-in a metro area with fewer than 1 million residents                                           ,City
40079,OK,Le Flore County,Le Flore ,"50,384",2,Small-in a metro area with fewer than 1 million residents                                           ,City
40111,OK,Okmulgee County,Okmulgee ,"40,069",2,Small-in a metro area with fewer than 1 million residents                                           ,City
40113,OK,Osage County,Osage ,"47,472",2,Small-in a metro area with fewer than 1 million residents                                           ,City
40117,OK,Pawnee County,Pawnee ,"16,577",2,Small-in a metro area with fewer than 1 million residents                                           ,City
40131,OK,Rogers County,Rogers ,"86,905",2,Small-in a metro area with fewer than 1 million residents                                           ,City
40135,OK,Sequoyah County,Sequoyah ,"42,391",2,Small-in a metro area with fewer than 1 million residents                                           ,City
40143,OK,Tulsa County,Tulsa ,"603,403",2,Small-in a metro area with fewer than 1 million residents                                           ,City
40145,OK,Wagoner County,Wagoner ,"73,085",2,Small-in a metro area with fewer than 1 million residents                                           ,City
41003,OR,Benton County,Benton ,"85,579",2,Small-in a metro area with fewer than 1 million residents                                           ,City
41017,OR,Deschutes County,Deschutes ,"157,733",2,Small-in a metro area with fewer than 1 million residents                                           ,City
41029,OR,Jackson County,Jackson ,"203,206",2,Small-in a metro area with fewer than 1 million residents                                           ,City
41033,OR,Josephine County,Josephine ,"82,713",2,Small-in a metro area with fewer than 1 million residents                                           ,City
41039,OR,Lane County,Lane ,"351,715",2,Small-in a metro area with fewer than 1 million residents                                           ,City
41043,OR,Linn County,Linn ,"116,672",2,Small-in a metro area with fewer than 1 million residents                                           ,City
41047,OR,Marion County,Marion ,"315,335",2,Small-in a metro area with fewer than 1 million residents                                           ,City
41053,OR,Polk County,Polk ,"75,403",2,Small-in a metro area with fewer than 1 million residents                                           ,City
42001,PA,Adams County,Adams ,"101,407",2,Small-in a metro area with fewer than 1 million residents                                           ,City
42011,PA,Berks County,Berks ,"411,442",2,Small-in a metro area with fewer than 1 million residents                                           ,City
42013,PA,Blair County,Blair ,"127,089",2,Small-in a metro area with fewer than 1 million residents                                           ,City
42021,PA,Cambria County,Cambria ,"143,679",2,Small-in a metro area with fewer than 1 million residents                                           ,City
42025,PA,Carbon County,Carbon ,"65,249",2,Small-in a metro area with fewer than 1 million residents                                           ,City
42027,PA,Centre County,Centre ,"153,990",2,Small-in a metro area with fewer than 1 million residents                                           ,City
42037,PA,Columbia County,Columbia ,"67,295",2,Small-in a metro area with fewer than 1 million residents                                           ,City
42041,PA,Cumberland County,Cumberland ,"235,406",2,Small-in a metro area with fewer than 1 million residents                                           ,City
42043,PA,Dauphin County,Dauphin ,"268,100",2,Small-in a metro area with fewer than 1 million residents                                           ,City
42049,PA,Erie County,Erie ,"280,566",2,Small-in a metro area with fewer than 1 million residents                                           ,City
42055,PA,Franklin County,Franklin ,"149,618",2,Small-in a metro area with fewer than 1 million residents                                           ,City
42069,PA,Lackawanna County,Lackawanna ,"214,437",2,Small-in a metro area with fewer than 1 million residents                                           ,City
42071,PA,Lancaster County,Lancaster ,"519,445",2,Small-in a metro area with fewer than 1 million residents                                           ,City
42075,PA,Lebanon County,Lebanon ,"133,568",2,Small-in a metro area with fewer than 1 million residents                                           ,City
42077,PA,Lehigh County,Lehigh ,"349,497",2,Small-in a metro area with fewer than 1 million residents                                           ,City
42079,PA,Luzerne County,Luzerne ,"320,918",2,Small-in a metro area with fewer than 1 million residents                                           ,City
42081,PA,Lycoming County,Lycoming ,"116,111",2,Small-in a metro area with fewer than 1 million residents                                           ,City
42085,PA,Mercer County,Mercer ,"116,638",2,Small-in a metro area with fewer than 1 million residents                                           ,City
42089,PA,Monroe County,Monroe ,"169,842",2,Small-in a metro area with fewer than 1 million residents                                           ,City
42093,PA,Montour County,Montour ,"18,267",2,Small-in a metro area with fewer than 1 million residents                                           ,City
42095,PA,Northampton County,Northampton ,"297,735",2,Small-in a metro area with fewer than 1 million residents                                           ,City
42099,PA,Perry County,Perry ,"45,969",2,Small-in a metro area with fewer than 1 million residents                                           ,City
42131,PA,Wyoming County,Wyoming ,"28,276",2,Small-in a metro area with fewer than 1 million residents                                           ,City
42133,PA,York County,York ,"434,972",2,Small-in a metro area with fewer than 1 million residents                                           ,City
45003,SC,Aiken County,Aiken ,"160,099",2,Small-in a metro area with fewer than 1 million residents                                           ,City
45007,SC,Anderson County,Anderson ,"187,126",2,Small-in a metro area with fewer than 1 million residents                                           ,City
45013,SC,Beaufort County,Beaufort ,"162,233",2,Small-in a metro area with fewer than 1 million residents                                           ,City
45015,SC,Berkeley County,Berkeley ,"177,843",2,Small-in a metro area with fewer than 1 million residents                                           ,City
45017,SC,Calhoun County,Calhoun ,"15,175",2,Small-in a metro area with fewer than 1 million residents                                           ,City
45019,SC,Charleston County,Charleston ,"350,209",2,Small-in a metro area with fewer than 1 million residents                                           ,City
45031,SC,Darlington County,Darlington ,"68,681",2,Small-in a metro area with fewer than 1 million residents                                           ,City
45035,SC,Dorchester County,Dorchester ,"136,555",2,Small-in a metro area with fewer than 1 million residents                                           ,City
45037,SC,Edgefield County,Edgefield ,"26,985",2,Small-in a metro area with fewer than 1 million residents                                           ,City
45039,SC,Fairfield County,Fairfield ,"23,956",2,Small-in a metro area with fewer than 1 million residents                                           ,City
45041,SC,Florence County,Florence ,"136,885",2,Small-in a metro area with fewer than 1 million residents                                           ,City
45045,SC,Greenville County,Greenville ,"451,225",2,Small-in a metro area with fewer than 1 million residents                                           ,City
45051,SC,Horry County,Horry ,"269,291",2,Small-in a metro area with fewer than 1 million residents                                           ,City
45053,SC,Jasper County,Jasper ,"24,777",2,Small-in a metro area with fewer than 1 million residents                                           ,City
45055,SC,Kershaw County,Kershaw ,"61,697",2,Small-in a metro area with fewer than 1 million residents                                           ,City
45059,SC,Laurens County,Laurens ,"66,537",2,Small-in a metro area with fewer than 1 million residents                                           ,City
45063,SC,Lexington County,Lexington ,"262,391",2,Small-in a metro area with fewer than 1 million residents                                           ,City
45077,SC,Pickens County,Pickens ,"119,224",2,Small-in a metro area with fewer than 1 million residents                                           ,City
45079,SC,Richland County,Richland ,"384,504",2,Small-in a metro area with fewer than 1 million residents                                           ,City
45081,SC,Saluda County,Saluda ,"19,875",2,Small-in a metro area with fewer than 1 million residents                                           ,City
45083,SC,Spartanburg County,Spartanburg ,"284,307",2,Small-in a metro area with fewer than 1 million residents                                           ,City
45085,SC,Sumter County,Sumter ,"107,456",2,Small-in a metro area with fewer than 1 million residents                                           ,City
45087,SC,Union County,Union ,"28,961",2,Small-in a metro area with fewer than 1 million residents                                           ,City
46033,SD,Custer County,Custer ,"8,216",2,Small-in a metro area with fewer than 1 million residents                                           ,City
46083,SD,Lincoln County,Lincoln ,"44,828",2,Small-in a metro area with fewer than 1 million residents                                           ,City
46087,SD,McCook County,McCook ,"5,618",2,Small-in a metro area with fewer than 1 million residents                                           ,City
46093,SD,Meade County,Meade ,"25,434",2,Small-in a metro area with fewer than 1 million residents                                           ,City
46099,SD,Minnehaha County,Minnehaha ,"169,468",2,Small-in a metro area with fewer than 1 million residents                                           ,City
46103,SD,Pennington County,Pennington ,"100,948",2,Small-in a metro area with fewer than 1 million residents                                           ,City
46125,SD,Turner County,Turner ,"8,347",2,Small-in a metro area with fewer than 1 million residents                                           ,City
